gvkey,CUSIP,ticker,CIK,CoName,cik_source
1410,00095710,ABM,771497.0,ABM INDUSTRIES INC /DE/,cusip_link
13619,00365410,ABMD,815094.0,ABIOMED INC,cusip_link
37460,00906610,ABNB,1559720.0,Airbnb Inc,cusip_link
38986,00509G20,ABOS,1576885.0,Acumen Pharmaceuticals Inc,cusip_link
39175,00091E10,ABSI,1672688.0,Absci Corp,cusip_link
1078,00282410,ABT,1800.0,ABBOTT LABORATORIES,cusip_link
119173,05335B10,ABTL,,,not_found
39801,00091F30,ABVC,1173313.0,"ABVC BIOPHARMA, INC.",ticker_fallback
65706,00374N10,ABVT,1043533.0,ABOVENET INC,cusip_link
328795,03965310,ACA,1739445.0,Arcosa Inc,cusip_link
141846,00422510,ACAD,1070494.0,ACADIA PHARMACEUTICALS INC,cusip_link
22461,03967010,ACAT,719866.0,ARCTIC CAT INC,cusip_link
36263,00437E10,ACCD,1481646.0,Accolade Inc,cusip_link
61656,00430U10,ACCL,1002388.0,ACCELRYS INC,cusip_link
36550,00436Q10,ACEL,1698991.0,Accel Entertainment Inc,cusip_link
32459,00444P10,ACER,1069308.0,Acer Therapeutics Inc,cusip_link
1094,00444610,ACET,2034.0,ACETO CORP,cusip_link
36716,88024M10,ACEV,1813658.0,Tempo Automation Holdings Inc,cusip_link
192255,00404A10,ACHC,1520697.0,Acadia Healthcare Company Inc,cusip_link
174136,00448Q20,ACHN,1070336.0,ACHILLION PHARMACEUTICALS INC,cusip_link
40092,03945R10,ACHR,1824502.0,Archer Aviation Inc,cusip_link
32271,00446850,ACHV,949858.0,ACHIEVE LIFE SCIENCES INC,cusip_link
25645,01309110,ACI,1646972.0,Albertsons Companies Inc,cusip_link
26722,00401C10,ACIA,1651235.0,Acacia Communications Inc,cusip_link
31564,00449810,ACIW,935036.0,ACI WORLDWIDE INC,cusip_link
162897,02519540,ACLI,1324479.0,AMERICAN COMMERCIAL LINES INC,cusip_link
137602,05454020,ACLS,1113232.0,AXCELIS TECHNOLOGIES INC,cusip_link
40610,03940C10,ACLX,1786205.0,Arcellx Inc,cusip_link
147988,00766T10,ACM,868857.0,AECOM,cusip_link
65569,00086T10,ACMR,1042809.0,AC MOORE ARTS & CRAFTS INC,cusip_link
32638,00108J10,ACMR,1680062.0,ACM Research Inc,cusip_link
14182,02341W10,ACO,813621.0,AMCOL INTERNATIONAL CORP,cusip_link
183352,03280310,ACOM,1469433.0,ANCESTRYCOM INC,cusip_link
156617,00484M70,ACOR,,,not_found
25904,00461U10,ACRS,1557746.0,Aclaris Therapeutics Inc,cusip_link
41684,00489010,ACRV,1781174.0,Acrivon Therapeutics Inc,cusip_link
185908,00444T20,ACRX,1427925.0,TALPHERA INC,cusip_link
186834,00439U10,ACST,,,not_found
230796,00506P10,ACTI,803014.0,COMVERSE TECHNOLOGY INC/NY/,cusip_link
28678,00493410,ACTL,907687.0,ACTEL CORP,cusip_link
35053,96684W10,ACTT,1753706.0,Whole Earth Brands Inc,cusip_link
45390,00508310,ACTU,1652935.0,ACTUATE THERAPEUTICS INC,cusip_link
112624,00508B10,ACTU,1062478.0,ACTUATE CORP,cusip_link
160281,00506D10,ACTV,1163932.0,ACTIVE NETWORK INC,cusip_link
1104,00481610,ACU,2098.0,ACME UNITED CORP,cusip_link
11929,00509L80,ACUR,786947.0,ACURA PHARMACEUTICALS INC,cusip_link
1239,01307810,ACV,3327.0,ALBERTO CULVER CO,cusip_link
38374,00091G10,ACVA,1637873.0,ACV Auctions Inc,cusip_link
